textbox22
generated on 30/09/2020 10:02:14 UTC

HEMISPHERELONG,CONTINENT,WHOREGION,FLULONG,Country,Year,Week,SDATE,EDATE,AGEGROUP_CODE,ILI_CASES,ILI_OUTPATIENTS,ILI_POP_COV,ILI_OUT_RATE,ILI_POP_RATE,ILI_SAMPLED,ILI_INF_POS,ILI_INF_NEG,ILI_COVID19_TESTED,ILI_COVID19_POS,ILI_COVID19_NEG,ILI_COVID19_RATIO,SARI_CASES,SARI_INPATIENTS,SARI_POP_COV,SARI_IN_RATE,SARI_POP_RATE,SARI_SAMPLED,SARI_INF_POS,SARI_INF_NEG,SARI_COVID19_TESTED,SARI_COVID19_POS,SARI_COVID19_NEG,SARI_COVID19_RATIO,ARI_CASES,ARI_OUTPATIENTS,ARI_POP_COV,ARI_OUT_RATE,ARI_POP_RATE,PNEU_CASES,PNEU_INPATIENTS,PNEU_POP_COV,PNEU_IN_RATE,PNEU_POP_RATE,GEOSPREAD,INTENSITY,TREND,IMPACT
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,44,2018-10-29,2018-11-04,All,71,,52656,,134.84,,,,,,,,78,485,,16.08,,14,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2018,44,2018-10-29,2018-11-04,All,540,,2089062,,25.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Northern Europe,Norway,2018,44,2018-10-29,2018-11-04,All,1341,,5463564,,24.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,44,2018-10-29,2018-11-04,All,16,,269694,,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,44,2018-10-29,2018-11-04,All,51,,132153,,38.59,,,,,,,,,,,,,,,,,,,,2038,,1213343,,167.97,,,,,,1,,2,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,43,2018-10-22,2018-10-28,All,4,,175109,,2.28,,,,,,,,85,834,0,10.19,,20,,,,,,,3021,,2986151,,101.17,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,43,2018-10-22,2018-10-28,All,67,,54733,,122.41,,,,,,,,68,528,,12.88,,5,,,,,,,,,,,,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2018,43,2018-10-22,2018-10-28,All,587,,2089062,,28.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Northern Europe,Norway,2018,43,2018-10-22,2018-10-28,All,1162,,5406328,,21.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,43,2018-10-22,2018-10-28,All,15,,95993,,15.63,,,,,,,,19,,376439,,5.05,19,,,,,,,1346,,95993,,1402.19,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,43,2018-10-22,2018-10-28,All,,,,,,,,,,,,,,,,,,,,,,,,,10480,,1022439,,1025.00,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2018,43,2018-10-22,2018-10-28,All,46,,236883,,19.42,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,2,1,2,0
Northern hemishere,Europe,EUR,South West Europe,France,2018,43,2018-10-22,2018-10-28,All,6550,,66725826,,9.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,43,2018-10-22,2018-10-28,All,10,,225828,,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,43,2018-10-22,2018-10-28,All,24,,126000,,19.05,,,,,,,,,,,,,,,,,,,,1846,,1155370,,159.78,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,43,2018-10-22,2018-10-28,All,608,,213319,,285.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,43,2018-10-22,2018-10-28,All,3635,,1052331,,345.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,42,2018-10-15,2018-10-21,All,56,,136058,,41.16,,,,,,,,,,,,,,,,,,,,2181,,1193011,,182.81,,,,,,1,,2,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,42,2018-10-15,2018-10-21,All,2,,175109,,1.14,,,,,,,,55,826,0,6.66,,17,,,,,,,2559,,2986151,,85.70,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2018,42,2018-10-15,2018-10-21,All,39,,206643,,18.87,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,2,1,2,0
Northern hemishere,Europe,EUR,South West Europe,France,2018,42,2018-10-15,2018-10-21,All,7787,,66725826,,11.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,42,2018-10-15,2018-10-21,All,9,,278919,,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,42,2018-10-15,2018-10-21,All,14,,90393,,15.49,,,,,,,,12,,376439,,3.19,12,,,,,,,1160,,90393,,1283.29,,,,,,1,,2,
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,42,2018-10-15,2018-10-21,All,89,,50719,,175.48,,,,,,,,79,527,,14.99,,0,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,42,2018-10-15,2018-10-21,All,506,,205581,,246.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,42,2018-10-15,2018-10-21,All,3313,,1022891,,323.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,42,2018-10-15,2018-10-21,All,,,,,,,,,,,,,,,,,,,,,,,,,10112,,1029735,,982.00,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2018,42,2018-10-15,2018-10-21,All,911,,2089062,,43.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Northern Europe,Norway,2018,42,2018-10-15,2018-10-21,All,1149,,5432456,,21.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,41,2018-10-08,2018-10-14,All,,,,,,,,,,,,,,,,,,,,,,,,,10550,,991635,,1063.90,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2018,41,2018-10-08,2018-10-14,All,39,,221764,,17.59,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,South West Europe,France,2018,41,2018-10-08,2018-10-14,All,8048,,66725826,,12.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,41,2018-10-08,2018-10-14,All,672,,209620,,320.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,41,2018-10-08,2018-10-14,All,13,,278921,,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,41,2018-10-08,2018-10-14,All,10,,91882,,10.88,,,,,,,,8,,376439,,2.13,8,,,,,,,1150,,91882,,1251.61,,,,,,1,,2,
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,41,2018-10-08,2018-10-14,All,41,,55822,,73.45,,,,,,,,66,332,,19.88,,3,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,Northern Europe,Norway,2018,41,2018-10-08,2018-10-14,All,1094,,5411353,,20.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,41,2018-10-08,2018-10-14,All,2948,,1020954,,288.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,41,2018-10-08,2018-10-14,All,0,,175109,,0.00,,,,,,,,40,855,0,4.68,,9,,,,,,,1934,,2986151,,64.77,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2018,41,2018-10-08,2018-10-14,All,740,,2089062,,35.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,41,2018-10-08,2018-10-14,All,66,,138511,,47.65,,,,,,,,,,,,,,,,,,,,2300,,1212298,,189.72,,,,,,1,,2,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,40,2018-10-01,2018-10-07,All,0,,175109,,0.00,,,,,,,,46,883,0,5.21,,9,,,,,,,2388,,2986151,,79.97,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,40,2018-10-01,2018-10-07,All,35,,56063,,62.43,,,,,,,,73,462,,15.80,,5,,,,,,,,,,,,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,Northern Europe,Norway,2018,40,2018-10-01,2018-10-07,All,967,,5387479,,17.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,40,2018-10-01,2018-10-07,All,3094,,1010239,,306.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,40,2018-10-01,2018-10-07,All,0,,83071,,0.00,,,,,,,,0,,376439,,0.00,0,,,,,,,1080,,83071,,1300.09,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2018,40,2018-10-01,2018-10-07,All,764,,2089062,,36.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,40,2018-10-01,2018-10-07,All,,,,,,,,,,,,,,,,,,,,,,,,,9120,,971352,,938.90,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,40,2018-10-01,2018-10-07,All,9,,286996,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,40,2018-10-01,2018-10-07,All,35,,135936,,25.75,,,,,,,,,,,,,,,,,,,,2162,,1211830,,178.41,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2018,40,2018-10-01,2018-10-07,All,36,,218403,,16.48,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,South West Europe,France,2018,40,2018-10-01,2018-10-07,All,7409,,66725826,,11.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,40,2018-10-01,2018-10-07,All,439,,183106,,239.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,39,2018-09-24,2018-09-30,All,5,,80144,,6.24,,,,,,,,,,,,,,,,,,,,891,,80144,,1111.75,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,39,2018-09-24,2018-09-30,All,0,,1790,,0.00,,,,,,,,36,896,0,4.02,,7,,,,,,,2334,,2986151,,78.16,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,South West Europe,France,2018,39,2018-09-24,2018-09-30,All,7174,,66725826,,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,39,2018-09-24,2018-09-30,All,8,,271289,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,39,2018-09-24,2018-09-30,All,40,,133558,,29.95,,,,,,,,,,,,,,,,,,,,1948,,1145274,,170.09,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,39,2018-09-24,2018-09-30,All,474,,175359,,270.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,39,2018-09-24,2018-09-30,All,2595,,984855,,263.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,39,2018-09-24,2018-09-30,All,,,,,,,,,,,,,,,,,,,,,,,,,6256,,704617,,887.86,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,39,2018-09-24,2018-09-30,All,41,,51419,,79.74,,,,,,,,55,569,,9.67,,0,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,38,2018-09-17,2018-09-23,All,,,,,,,,,,,,,,,,,,,,,,,,,7003,,836917,,836.76,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,South West Europe,France,2018,38,2018-09-17,2018-09-23,All,7349,,66725826,,11.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,38,2018-09-17,2018-09-23,All,9,,289790,,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,38,2018-09-17,2018-09-23,All,0,,76345,,0.00,,,,,,,,,,,,,,,,,,,,729,,76345,,954.88,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,38,2018-09-17,2018-09-23,All,18,,44237,,40.69,,,,,,,,49,635,,7.72,,,,,,,,,,,,,,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,38,2018-09-17,2018-09-23,All,327,,173529,,188.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,38,2018-09-17,2018-09-23,All,2047,,1047710,,195.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,38,2018-09-17,2018-09-23,All,0,,2125,,0.00,,,,,,,,32,811,0,3.95,,5,,,,,,,2091,,2986151,,70.02,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,38,2018-09-17,2018-09-23,All,39,,136133,,28.65,,,,,,,,,,,,,,,,,,,,1856,,1145268,,162.06,,,,,,1,1,2,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,37,2018-09-10,2018-09-16,All,0,,2084,,0.00,,,,,,,,42,836,0,5.02,,7,,,,,,,1955,,2986151,,65.47,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,37,2018-09-10,2018-09-16,All,18,,44237,,40.69,,,,,,,,50,511,,9.78,,6,,,,,,,,,,,,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,37,2018-09-10,2018-09-16,All,2014,,989868,,203.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,37,2018-09-10,2018-09-16,All,0,,73976,,0.00,,,,,,,,,,,,,,,,,,,,481,,73976,,650.21,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,37,2018-09-10,2018-09-16,All,,,,,,,,,,,,,,,,,,,,,,,,,6708,,915143,,733.00,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,37,2018-09-10,2018-09-16,All,45,,136133,,33.06,,,,,,,,,,,,,,,,,,,,1617,,1148710,,140.77,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,France,2018,37,2018-09-10,2018-09-16,All,4915,,66725826,,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,37,2018-09-10,2018-09-16,All,283,,165752,,170.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,37,2018-09-10,2018-09-16,All,4,,286595,,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,36,2018-09-03,2018-09-09,All,1,,76560,,1.31,,,,,,,,,,,,,,,,,,,,435,,76560,,568.18,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,36,2018-09-03,2018-09-09,All,0,,1699,,0.00,,,,,,,,40,810,0,4.94,,6,,,,,,,1649,,2986151,,55.22,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,36,2018-09-03,2018-09-09,All,1,,288021,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,36,2018-09-03,2018-09-09,All,27,,138511,,19.49,,,,,,,,,,,,,,,,,,,,1327,,1119753,,118.51,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,36,2018-09-03,2018-09-09,All,187,,164078,,113.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,36,2018-09-03,2018-09-09,All,,,,,,,,,,,,,,,,,,,,,,,,,5439,,906666,,599.89,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,36,2018-09-03,2018-09-09,All,17,,39121,,43.45,,,,,,,,32,567,,5.64,,1,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,36,2018-09-03,2018-09-09,All,1017,,1044682,,97.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,35,2018-08-27,2018-09-02,All,,,,,,,,,,,,,,,,,,,,,,,,,4403,,941025,,467.89,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,35,2018-08-27,2018-09-02,All,1,,278264,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,35,2018-08-27,2018-09-02,All,21,,133397,,15.74,,,,,,,,,,,,,,,,,,,,1145,,1113859,,102.80,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,35,2018-08-27,2018-09-02,All,212,,165373,,128.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,35,2018-08-27,2018-09-02,All,970,,1080525,,89.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,35,2018-08-27,2018-09-02,All,0,,1934,,0.00,,,,,,,,30,814,0,3.69,,6,,,,,,,1557,,2986151,,52.14,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,35,2018-08-27,2018-09-02,All,1,,74715,,1.34,,,,,,,,,,,,,,,,,,,,338,,74715,,452.39,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,35,2018-08-27,2018-09-02,All,18,,44237,,40.69,,,,,,,,47,598,,7.86,,4,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,34,2018-08-20,2018-08-26,All,0,,2020,,0.00,,,,,,,,20,823,0,2.43,,6,,,,,,,1525,,2986151,,51.07,,,,,,2,1,3,1
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,34,2018-08-20,2018-08-26,All,8,,27655,,28.93,,,,,,,,56,611,,9.17,,1,,,,,,,,,,,,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,34,2018-08-20,2018-08-26,All,126,,130525,,96.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,34,2018-08-20,2018-08-26,All,820,,1047212,,78.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,34,2018-08-20,2018-08-26,All,0,,72545,,0.00,,,,,,,,,,,,,,,,,,,,257,,72545,,354.26,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,34,2018-08-20,2018-08-26,All,,,,,,,,,,,,,,,,,,,,,,,,,3383,,953239,,354.90,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,34,2018-08-20,2018-08-26,All,20,,138511,,14.44,,,,,,,,,,,,,,,,,,,,843,,1083140,,77.83,,,,,,1,1,2,
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,34,2018-08-20,2018-08-26,All,0,,266809,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,33,2018-08-13,2018-08-19,All,0,,1648,,0.00,,,,,,,,15,793,0,1.89,,3,,,,,,,1355,,2986151,,45.38,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,33,2018-08-13,2018-08-19,All,0,,78133,,0.00,,,,,,,,,,,,,,,,,,,,329,,78133,,421.08,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,33,2018-08-13,2018-08-19,All,12,,138511,,8.66,,,,,,,,,,,,,,,,,,,,946,,1302221,,72.65,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,33,2018-08-13,2018-08-19,All,,,,,,,,,,,,,,,,,,,,,,,,,3071,,906194,,338.89,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,33,2018-08-13,2018-08-19,All,119,,117640,,101.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,33,2018-08-13,2018-08-19,All,0,,292531,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,33,2018-08-13,2018-08-19,All,8,,26427,,30.27,,,,,,,,56,611,,9.17,,6,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,33,2018-08-13,2018-08-19,All,745,,1049589,,70.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,32,2018-08-06,2018-08-12,All,,,,,,,,,,,,,,,,,,,,,,,,,2764,,877777,,314.89,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,32,2018-08-06,2018-08-12,All,3,,292531,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,32,2018-08-06,2018-08-12,All,14,,128383,,10.90,,,,,,,,,,,,,,,,,,,,833,,1273416,,65.41,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,32,2018-08-06,2018-08-12,All,108,,83923,,128.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,32,2018-08-06,2018-08-12,All,0,,1740,,0.00,,,,,,,,42,1740,0,2.41,,5,,,,,,,1383,,2986151,,46.31,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,32,2018-08-06,2018-08-12,All,0,,74678,,0.00,,,,,,,,,,,,,,,,,,,,356,,74678,,476.71,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,32,2018-08-06,2018-08-12,All,1,,22750,,4.40,,,,,,,,61,625,,9.76,,8,,,,,,,,,,,,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,32,2018-08-06,2018-08-12,All,693,,1026527,,67.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,31,2018-07-30,2018-08-05,All,0,,1729,,0.00,,,,,,,,29,1090,0,2.66,,8,,,,,,,1455,,2986151,,48.72,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Greece,2018,31,2018-07-30,2018-08-05,All,162,,134703,,120.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2018,31,2018-07-30,2018-08-05,All,599,,1039609,,57.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,31,2018-07-30,2018-08-05,All,1,,48990,,2.04,,,,,,,,,,,,,,,,,,,,207,,48990,,422.54,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,31,2018-07-30,2018-08-05,All,,,,,,,,,,,,,,,,,,,,,,,,,2773,,848318,,326.88,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,31,2018-07-30,2018-08-05,All,11,,32546,,33.80,,,,,,,,61,612,,9.97,,4,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,31,2018-07-30,2018-08-05,All,2,,289630,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,31,2018-07-30,2018-08-05,All,14,,128447,,10.90,,,,,,,,,,,,,,,,,,,,911,,1284943,,70.90,,,,,,1,1,2,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2018,30,2018-07-23,2018-07-29,All,0,,1824,,0.00,,,,,,,,43,995,0,4.32,,8,,,,,,,1613,,2986151,,54.02,,,,,,1,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2018,30,2018-07-23,2018-07-29,All,0,,73683,,0.00,,,,,,,,,,,,,,,,,,,,338,,73683,,458.72,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2018,30,2018-07-23,2018-07-29,All,15,,123274,,12.17,,,,,,,,,,,,,,,,,,,,1088,,1264420,,86.05,,,,,,1,1,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2018,30,2018-07-23,2018-07-29,All,,,,,,,,,,,,,,,,,,,,,,,,,3298,,833080,,395.88,,,,,,1,1,2,0
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2018,30,2018-07-23,2018-07-29,All,5,,292531,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
Northern hemishere,Europe,EUR,Western Asia,Georgia,2018,30,2018-07-23,2018-07-29,All,8,,33855,,23.63,,,,,,,,57,614,,9.28,,4,,,,,,,,,,,,,,,,,1,1,1,1
